,date,daily_signal,signal_strength,buy_ratio,sell_ratio,hold_ratio,total_posts,avg_confidence,total_score,model_used
0,2025-08-13,HOLD,0.6281159333603619,0.15943410383376466,0.19112579649636763,0.6281159333603619,169,0.829930218276502,1089.0,bart
1,2025-08-06,HOLD,0.7003786751920925,0.15148008976675487,0.14814123504115265,0.7003786751920925,88,0.8148402019817644,378.0,bart
2,2025-08-07,HOLD,0.6886525982109841,0.14336856527585304,0.13642323936038234,0.6886525982109841,90,0.8183993086043919,402.0,bart
3,2025-08-11,HOLD,0.6594098322884391,0.12407626405312472,0.21276475699343034,0.6594098322884391,133,0.8302823869395248,818.0,bart
4,2025-08-09,HOLD,0.773901355901655,0.09842399373635348,0.1276746503619915,0.773901355901655,99,0.808198375590042,532.0,bart
5,2025-08-08,HOLD,0.7255266995140859,0.1270429437457338,0.14743035674018035,0.7255266995140859,89,0.8163655141507754,380.0,bart
6,2025-08-12,HOLD,0.6379049283632798,0.1446755583867136,0.1957035621317445,0.6379049283632798,166,0.8313074176027944,1077.0,bart
7,2025-08-10,NEUTRAL,-0.0,-0.0,-0.0,,121,0.8252334140322871,713.0,bart
8,2025-08-30,HOLD,0.6526297872411819,0.13811093024998272,0.18661054805480892,0.6526297872411819,262,0.8128360540078274,1619.0,bart
9,2025-09-02,HOLD,0.6633658234572348,0.12427678621677067,0.18881403399704302,0.6633658234572348,266,0.8109941813248701,1688.0,bart
10,2025-09-11,HOLD,0.6340891964170258,0.1336926779651658,0.20584290698467578,0.6340891964170258,242,0.8066632913514651,1412.0,bart
11,2025-08-24,HOLD,0.6221218209481276,0.14161376333306275,0.21192445531781076,0.6221218209481276,269,0.8134678158915237,1638.0,bart
12,2025-09-10,HOLD,0.6339088449303437,0.13608292835265473,0.2036971863306963,0.6339088449303437,241,0.8068960785409355,1429.0,bart
13,2025-08-26,HOLD,0.6458416927857263,0.14312494554726904,0.18702653233671693,0.6458416927857263,260,0.8125824950557344,1599.0,bart
14,2025-09-06,HOLD,0.6439882541900358,0.12739229703501742,0.20215438762132068,0.6439882541900358,245,0.8077151513315582,1447.0,bart
15,2025-08-25,HOLD,0.6274081100402773,0.13678295901988688,0.21292815369309984,0.6274081100402773,273,0.8125973352479836,1626.0,bart
16,2025-08-29,HOLD,0.6497221276092716,0.139539575921625,0.18692761126503163,0.6497221276092716,261,0.8129861870486841,1617.0,bart
17,2025-08-28,HOLD,0.6421258681719775,0.14221490148468602,0.19046187902576295,0.6421258681719775,260,0.8125931143574836,1592.0,bart
18,2025-09-09,HOLD,0.6335512920915158,0.13787780079795683,0.2023588171710065,0.6335512920915158,242,0.8067014886727164,1430.0,bart
19,2025-09-08,HOLD,0.6354784006477412,0.1354139344850133,0.20356989000288345,0.6354784006477412,242,0.8067014886727164,1432.0,bart
20,2025-08-31,HOLD,0.6556202122057977,0.12689783366951432,0.19305436664030523,0.6556202122057977,261,0.808760940246769,1618.0,bart
21,2025-09-03,HOLD,0.6645868097343881,0.12068954872177723,0.19165815491140745,0.6645868097343881,259,0.8070272212429409,1552.0,bart
22,2025-08-19,HOLD,0.6512449896331919,0.12548326127674775,0.1975688036715911,0.6512449896331919,241,0.8148136737258223,1491.0,bart
23,2025-09-12,HOLD,0.6324420626023719,0.1310005018102257,0.2086388141088714,0.6324420626023719,241,0.8051389014353694,1389.0,bart
24,2025-09-04,HOLD,0.6597842615653873,0.12235866119120986,0.19323333573385695,0.6597842615653873,259,0.8070272212429409,1541.0,bart
25,2025-08-27,HOLD,0.6426608539170512,0.14309625353420888,0.18984108634156743,0.6426608539170512,259,0.811808948724545,1599.0,bart
26,2025-09-05,HOLD,0.6472056986865886,0.12729959753726797,0.19934716588290566,0.6472056986865886,249,0.8064161730628288,1457.0,bart
27,2025-08-21,HOLD,0.6329151541624557,0.13532158998445049,0.20854604214703978,0.6329151541624557,265,0.8142722975444706,1559.0,bart
28,2025-08-20,HOLD,0.6333687018031048,0.13465477300384993,0.20356019857979335,0.6333687018031048,250,0.8147879113797312,1520.0,bart
29,2025-08-23,HOLD,0.6291565138306974,0.13349382732200366,0.21403236493251343,0.6291565138306974,265,0.8125973758054407,1605.0,bart
30,2025-09-07,HOLD,0.6431830889179604,0.12919584376410126,0.2034535918519712,0.6431830889179604,247,0.8080125838543847,1455.0,bart
31,2025-09-01,HOLD,0.6617391417414717,0.12447419424695005,0.19113717537592878,0.6617391417414717,267,0.8079201531994841,1630.0,bart
32,2025-08-22,HOLD,0.6305848006471831,0.13891178153495057,0.20615327867720198,0.6305848006471831,265,0.8128939909559042,1578.0,bart
