date,datetime_iso,timezone,symbol,price,performance by day
2025-08-19,2025-08-19T00:00:00+00:00,UTC,BTCUSDT,116209.95,
2025-08-20,2025-08-20T00:00:00+00:00,UTC,BTCUSDT,112949.21,-2.80590
2025-08-21,2025-08-21T00:00:00+00:00,UTC,BTCUSDT,114210.36,+1.11656
2025-08-22,2025-08-22T00:00:00+00:00,UTC,BTCUSDT,112548.06,-1.45547
2025-08-23,2025-08-23T00:00:00+00:00,UTC,BTCUSDT,116928.37,+3.89195
2025-08-24,2025-08-24T00:00:00+00:00,UTC,BTCUSDT,115400.01,-1.30709
2025-08-25,2025-08-25T00:00:00+00:00,UTC,BTCUSDT,113459.47,-1.68158
2025-08-26,2025-08-26T00:00:00+00:00,UTC,BTCUSDT,109973.76,-3.07221
2025-08-27,2025-08-27T00:00:00+00:00,UTC,BTCUSDT,111731.96,+1.59875
2025-08-28,2025-08-28T00:00:00+00:00,UTC,BTCUSDT,111240.0,-0.44030
2025-08-29,2025-08-29T00:00:00+00:00,UTC,BTCUSDT,112467.97,+1.10389
2025-08-30,2025-08-30T00:00:00+00:00,UTC,BTCUSDT,108311.73,-3.69549
2025-08-31,2025-08-31T00:00:00+00:00,UTC,BTCUSDT,108816.35,+0.46590
2025-09-01,2025-09-01T00:00:00+00:00,UTC,BTCUSDT,108260.0,-0.51127
2025-09-02,2025-09-02T00:00:00+00:00,UTC,BTCUSDT,109172.01,+0.84243
2025-09-03,2025-09-03T00:00:00+00:00,UTC,BTCUSDT,111240.01,+1.89426
2025-09-04,2025-09-04T00:00:00+00:00,UTC,BTCUSDT,111730.44,+0.44088
2025-09-05,2025-09-05T00:00:00+00:00,UTC,BTCUSDT,110775.11,-0.85503
2025-09-06,2025-09-06T00:00:00+00:00,UTC,BTCUSDT,110633.14,-0.12816
2025-09-07,2025-09-07T00:00:00+00:00,UTC,BTCUSDT,110209.79,-0.38266
2025-09-08,2025-09-08T00:00:00+00:00,UTC,BTCUSDT,111160.01,+0.86219
2025-09-09,2025-09-09T00:00:00+00:00,UTC,BTCUSDT,112072.21,+0.82062
2025-09-10,2025-09-10T00:00:00+00:00,UTC,BTCUSDT,111547.4,-0.46828
2025-09-11,2025-09-11T00:00:00+00:00,UTC,BTCUSDT,113990.0,+2.18974
2025-09-12,2025-09-12T00:00:00+00:00,UTC,BTCUSDT,115596.09,+1.40897
