date,datetime_iso,timezone,symbol,price,performance
2025-08-19,2025-08-19T00:00:00+00:00,UTC,ETHUSDT,4309.58,
2025-08-20,2025-08-20T00:00:00+00:00,UTC,ETHUSDT,4082.59,-5.26710
2025-08-21,2025-08-21T00:00:00+00:00,UTC,ETHUSDT,4331.4,+6.09442
2025-08-22,2025-08-22T00:00:00+00:00,UTC,ETHUSDT,4229.08,-2.36228
2025-08-23,2025-08-23T00:00:00+00:00,UTC,ETHUSDT,4829.52,+14.19789
2025-08-24,2025-08-24T00:00:00+00:00,UTC,ETHUSDT,4781.57,-0.99285
2025-08-25,2025-08-25T00:00:00+00:00,UTC,ETHUSDT,4781.05,-0.01088
2025-08-26,2025-08-26T00:00:00+00:00,UTC,ETHUSDT,4368.97,-8.61903
2025-08-27,2025-08-27T00:00:00+00:00,UTC,ETHUSDT,4596.62,+5.21061
2025-08-28,2025-08-28T00:00:00+00:00,UTC,ETHUSDT,4500.53,-2.09045
2025-08-29,2025-08-29T00:00:00+00:00,UTC,ETHUSDT,4509.5,+0.19931
2025-08-30,2025-08-30T00:00:00+00:00,UTC,ETHUSDT,4356.89,-3.38419
2025-08-31,2025-08-31T00:00:00+00:00,UTC,ETHUSDT,4372.76,+0.36425
2025-09-01,2025-09-01T00:00:00+00:00,UTC,ETHUSDT,4389.95,+0.39312
2025-09-02,2025-09-02T00:00:00+00:00,UTC,ETHUSDT,4311.12,-1.79569
2025-09-03,2025-09-03T00:00:00+00:00,UTC,ETHUSDT,4323.58,+0.28902
2025-09-04,2025-09-04T00:00:00+00:00,UTC,ETHUSDT,4450.15,+2.92744
2025-09-05,2025-09-05T00:00:00+00:00,UTC,ETHUSDT,4300.21,-3.36932
2025-09-06,2025-09-06T00:00:00+00:00,UTC,ETHUSDT,4306.19,+0.13906
2025-09-07,2025-09-07T00:00:00+00:00,UTC,ETHUSDT,4276.05,-0.69992
2025-09-08,2025-09-08T00:00:00+00:00,UTC,ETHUSDT,4307.01,+0.72403
2025-09-09,2025-09-09T00:00:00+00:00,UTC,ETHUSDT,4306.24,-0.01788
2025-09-10,2025-09-10T00:00:00+00:00,UTC,ETHUSDT,4313.09,+0.15907
2025-09-11,2025-09-11T00:00:00+00:00,UTC,ETHUSDT,4346.05,+0.76419
2025-09-12,2025-09-12T00:00:00+00:00,UTC,ETHUSDT,4461.95,+2.66679
